1.9777 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.4075 	EXP 	polygon: autoDraw = True
18.4075 	EXP 	polygon_2: autoDraw = True
18.4075 	EXP 	grating: autoDraw = True
18.4075 	EXP 	grating: tex = 'sin'
18.4909 	EXP 	grating: autoDraw = False
19.1248 	EXP 	polygon: autoDraw = False
19.1248 	EXP 	polygon_2: autoDraw = False
19.1248 	EXP 	grating: autoDraw = False
19.1248 	EXP 	grating: ori = 260.0
19.1257 	DATA 	Keypress: down
19.4583 	EXP 	polygon: autoDraw = True
19.4583 	EXP 	polygon_2: autoDraw = True
19.4583 	EXP 	grating: autoDraw = True
19.4583 	EXP 	grating: tex = 'sin'
19.5418 	EXP 	grating: autoDraw = False
20.2756 	EXP 	polygon: autoDraw = False
20.2756 	EXP 	polygon_2: autoDraw = False
20.2756 	EXP 	grating: autoDraw = False
20.2756 	EXP 	grating: ori = 260.0
20.2766 	DATA 	Keypress: down
20.6092 	EXP 	polygon: autoDraw = True
20.6092 	EXP 	polygon_2: autoDraw = True
20.6092 	EXP 	grating: autoDraw = True
20.6092 	EXP 	grating: tex = 'sin'
20.6927 	EXP 	grating: autoDraw = False
21.4766 	EXP 	polygon: autoDraw = False
21.4766 	EXP 	polygon_2: autoDraw = False
21.4766 	EXP 	grating: autoDraw = False
21.4766 	EXP 	grating: ori = 260.0
21.4778 	DATA 	Keypress: up
21.8103 	EXP 	polygon: autoDraw = True
21.8103 	EXP 	polygon_2: autoDraw = True
21.8103 	EXP 	grating: autoDraw = True
21.8103 	EXP 	grating: tex = 'sin'
21.8936 	EXP 	grating: autoDraw = False
22.4608 	EXP 	polygon: autoDraw = False
22.4608 	EXP 	polygon_2: autoDraw = False
22.4608 	EXP 	grating: autoDraw = False
22.4608 	EXP 	grating: ori = 260.0
22.4618 	DATA 	Keypress: down
22.7944 	EXP 	polygon: autoDraw = True
22.7944 	EXP 	polygon_2: autoDraw = True
22.7944 	EXP 	grating: autoDraw = True
22.7944 	EXP 	grating: tex = 'sin'
22.8779 	EXP 	grating: autoDraw = False
23.4950 	EXP 	polygon: autoDraw = False
23.4950 	EXP 	polygon_2: autoDraw = False
23.4950 	EXP 	grating: autoDraw = False
23.4950 	EXP 	grating: ori = 280.0
23.4960 	DATA 	Keypress: down
23.8286 	EXP 	polygon: autoDraw = True
23.8286 	EXP 	polygon_2: autoDraw = True
23.8286 	EXP 	grating: autoDraw = True
23.8286 	EXP 	grating: tex = 'sin'
23.9120 	EXP 	grating: autoDraw = False
24.7293 	EXP 	polygon: autoDraw = False
24.7293 	EXP 	polygon_2: autoDraw = False
24.7293 	EXP 	grating: autoDraw = False
24.7293 	EXP 	grating: ori = 280.0
24.7303 	DATA 	Keypress: up
25.0630 	EXP 	polygon: autoDraw = True
25.0630 	EXP 	polygon_2: autoDraw = True
25.0630 	EXP 	grating: autoDraw = True
25.0630 	EXP 	grating: tex = 'sin'
25.1463 	EXP 	grating: autoDraw = False
25.8303 	EXP 	polygon: autoDraw = False
25.8303 	EXP 	polygon_2: autoDraw = False
25.8303 	EXP 	grating: autoDraw = False
25.8303 	EXP 	grating: ori = 260.0
25.8312 	DATA 	Keypress: up
26.1640 	EXP 	polygon: autoDraw = True
26.1640 	EXP 	polygon_2: autoDraw = True
26.1640 	EXP 	grating: autoDraw = True
26.1640 	EXP 	grating: tex = 'sin'
26.2473 	EXP 	grating: autoDraw = False
26.8812 	EXP 	polygon: autoDraw = False
26.8812 	EXP 	polygon_2: autoDraw = False
26.8812 	EXP 	grating: autoDraw = False
26.8812 	EXP 	grating: ori = 260.0
26.8821 	DATA 	Keypress: down
27.2149 	EXP 	polygon: autoDraw = True
27.2149 	EXP 	polygon_2: autoDraw = True
27.2149 	EXP 	grating: autoDraw = True
27.2149 	EXP 	grating: tex = 'sin'
27.2982 	EXP 	grating: autoDraw = False
27.9820 	EXP 	polygon: autoDraw = False
27.9820 	EXP 	polygon_2: autoDraw = False
27.9820 	EXP 	grating: autoDraw = False
27.9820 	EXP 	grating: ori = 280.0
27.9830 	DATA 	Keypress: down
28.3157 	EXP 	polygon: autoDraw = True
28.3157 	EXP 	polygon_2: autoDraw = True
28.3157 	EXP 	grating: autoDraw = True
28.3157 	EXP 	grating: tex = 'sin'
28.3991 	EXP 	grating: autoDraw = False
29.0496 	EXP 	polygon: autoDraw = False
29.0496 	EXP 	polygon_2: autoDraw = False
29.0496 	EXP 	grating: autoDraw = False
29.0496 	EXP 	grating: ori = 260.0
29.0505 	DATA 	Keypress: up
29.3833 	EXP 	polygon: autoDraw = True
29.3833 	EXP 	polygon_2: autoDraw = True
29.3833 	EXP 	grating: autoDraw = True
29.3833 	EXP 	grating: tex = 'sin'
29.4666 	EXP 	grating: autoDraw = False
30.0505 	EXP 	polygon: autoDraw = False
30.0505 	EXP 	polygon_2: autoDraw = False
30.0505 	EXP 	grating: autoDraw = False
30.0505 	EXP 	grating: ori = 280.0
30.0514 	DATA 	Keypress: down
30.3842 	EXP 	polygon: autoDraw = True
30.3842 	EXP 	polygon_2: autoDraw = True
30.3842 	EXP 	grating: autoDraw = True
30.3842 	EXP 	grating: tex = 'sin'
30.4674 	EXP 	grating: autoDraw = False
31.1681 	EXP 	polygon: autoDraw = False
31.1681 	EXP 	polygon_2: autoDraw = False
31.1681 	EXP 	grating: autoDraw = False
31.1681 	EXP 	grating: ori = 260.0
31.1690 	DATA 	Keypress: up
31.5017 	EXP 	polygon: autoDraw = True
31.5017 	EXP 	polygon_2: autoDraw = True
31.5017 	EXP 	grating: autoDraw = True
31.5017 	EXP 	grating: tex = 'sin'
31.5851 	EXP 	grating: autoDraw = False
32.3357 	EXP 	polygon: autoDraw = False
32.3357 	EXP 	polygon_2: autoDraw = False
32.3357 	EXP 	grating: autoDraw = False
32.3357 	EXP 	grating: ori = 280.0
32.3366 	DATA 	Keypress: up
32.6693 	EXP 	polygon: autoDraw = True
32.6693 	EXP 	polygon_2: autoDraw = True
32.6693 	EXP 	grating: autoDraw = True
32.6693 	EXP 	grating: tex = 'sin'
32.7528 	EXP 	grating: autoDraw = False
33.3866 	EXP 	polygon: autoDraw = False
33.3866 	EXP 	polygon_2: autoDraw = False
33.3866 	EXP 	grating: autoDraw = False
33.3866 	EXP 	grating: ori = 260.0
33.3875 	DATA 	Keypress: up
33.7202 	EXP 	polygon: autoDraw = True
33.7202 	EXP 	polygon_2: autoDraw = True
33.7202 	EXP 	grating: autoDraw = True
33.7202 	EXP 	grating: tex = 'sin'
33.8036 	EXP 	grating: autoDraw = False
34.7043 	EXP 	polygon: autoDraw = False
34.7043 	EXP 	polygon_2: autoDraw = False
34.7043 	EXP 	grating: autoDraw = False
34.7043 	EXP 	grating: ori = 260.0
34.7053 	DATA 	Keypress: down
35.0380 	EXP 	polygon: autoDraw = True
35.0380 	EXP 	polygon_2: autoDraw = True
35.0380 	EXP 	grating: autoDraw = True
35.0380 	EXP 	grating: tex = 'sin'
35.1213 	EXP 	grating: autoDraw = False
35.9554 	EXP 	polygon: autoDraw = False
35.9554 	EXP 	polygon_2: autoDraw = False
35.9554 	EXP 	grating: autoDraw = False
35.9554 	EXP 	grating: ori = 280.0
35.9564 	DATA 	Keypress: up
36.2891 	EXP 	polygon: autoDraw = True
36.2891 	EXP 	polygon_2: autoDraw = True
36.2891 	EXP 	grating: autoDraw = True
36.2891 	EXP 	grating: tex = 'sin'
36.3724 	EXP 	grating: autoDraw = False
37.0729 	EXP 	polygon: autoDraw = False
37.0729 	EXP 	polygon_2: autoDraw = False
37.0729 	EXP 	grating: autoDraw = False
37.0729 	EXP 	grating: ori = 280.0
37.0738 	DATA 	Keypress: up
37.4067 	EXP 	polygon: autoDraw = True
37.4067 	EXP 	polygon_2: autoDraw = True
37.4067 	EXP 	grating: autoDraw = True
37.4067 	EXP 	grating: tex = 'sin'
37.4900 	EXP 	grating: autoDraw = False
38.3741 	EXP 	polygon: autoDraw = False
38.3741 	EXP 	polygon_2: autoDraw = False
38.3741 	EXP 	grating: autoDraw = False
38.3741 	EXP 	grating: ori = 280.0
38.3750 	DATA 	Keypress: down
38.7077 	EXP 	polygon: autoDraw = True
38.7077 	EXP 	polygon_2: autoDraw = True
38.7077 	EXP 	grating: autoDraw = True
38.7077 	EXP 	grating: tex = 'sin'
38.7911 	EXP 	grating: autoDraw = False
39.4082 	EXP 	polygon: autoDraw = False
39.4082 	EXP 	polygon_2: autoDraw = False
39.4082 	EXP 	grating: autoDraw = False
39.4082 	EXP 	grating: ori = 260.0
39.4091 	DATA 	Keypress: up
39.7419 	EXP 	polygon: autoDraw = True
39.7419 	EXP 	polygon_2: autoDraw = True
39.7419 	EXP 	grating: autoDraw = True
39.7419 	EXP 	grating: tex = 'sin'
39.8253 	EXP 	grating: autoDraw = False
40.3924 	EXP 	polygon: autoDraw = False
40.3924 	EXP 	polygon_2: autoDraw = False
40.3924 	EXP 	grating: autoDraw = False
40.3924 	EXP 	grating: ori = 280.0
40.3936 	DATA 	Keypress: down
40.7260 	EXP 	polygon: autoDraw = True
40.7260 	EXP 	polygon_2: autoDraw = True
40.7260 	EXP 	grating: autoDraw = True
40.7260 	EXP 	grating: tex = 'sin'
40.8095 	EXP 	grating: autoDraw = False
41.4266 	EXP 	polygon: autoDraw = False
41.4266 	EXP 	polygon_2: autoDraw = False
41.4266 	EXP 	grating: autoDraw = False
41.4266 	EXP 	grating: ori = 280.0
41.4276 	DATA 	Keypress: up
41.7603 	EXP 	polygon: autoDraw = True
41.7603 	EXP 	polygon_2: autoDraw = True
41.7603 	EXP 	grating: autoDraw = True
41.7603 	EXP 	grating: tex = 'sin'
41.8436 	EXP 	grating: autoDraw = False
42.4441 	EXP 	polygon: autoDraw = False
42.4441 	EXP 	polygon_2: autoDraw = False
42.4441 	EXP 	grating: autoDraw = False
42.4441 	EXP 	grating: ori = 260.0
42.4452 	DATA 	Keypress: down
42.7777 	EXP 	polygon: autoDraw = True
42.7777 	EXP 	polygon_2: autoDraw = True
42.7777 	EXP 	grating: autoDraw = True
42.7777 	EXP 	grating: tex = 'sin'
42.8612 	EXP 	grating: autoDraw = False
43.6618 	EXP 	polygon: autoDraw = False
43.6618 	EXP 	polygon_2: autoDraw = False
43.6618 	EXP 	grating: autoDraw = False
43.6618 	EXP 	grating: ori = 280.0
43.6627 	DATA 	Keypress: up
43.9955 	EXP 	polygon: autoDraw = True
43.9955 	EXP 	polygon_2: autoDraw = True
43.9955 	EXP 	grating: autoDraw = True
43.9955 	EXP 	grating: tex = 'sin'
44.0789 	EXP 	grating: autoDraw = False
45.1977 	DATA 	Keypress: down
45.2131 	EXP 	polygon: autoDraw = False
45.2131 	EXP 	polygon_2: autoDraw = False
45.2131 	EXP 	grating: autoDraw = False
45.2131 	EXP 	grating: ori = 260.0
45.5468 	EXP 	polygon: autoDraw = True
45.5468 	EXP 	polygon_2: autoDraw = True
45.5468 	EXP 	grating: autoDraw = True
45.5468 	EXP 	grating: tex = 'sin'
45.6301 	EXP 	grating: autoDraw = False
46.2641 	EXP 	polygon: autoDraw = False
46.2641 	EXP 	polygon_2: autoDraw = False
46.2641 	EXP 	grating: autoDraw = False
46.2641 	EXP 	grating: ori = 280.0
46.2650 	DATA 	Keypress: down
46.5976 	EXP 	polygon: autoDraw = True
46.5976 	EXP 	polygon_2: autoDraw = True
46.5976 	EXP 	grating: autoDraw = True
46.5976 	EXP 	grating: tex = 'sin'
46.6810 	EXP 	grating: autoDraw = False
47.8153 	EXP 	polygon: autoDraw = False
47.8153 	EXP 	polygon_2: autoDraw = False
47.8153 	EXP 	grating: autoDraw = False
47.8153 	EXP 	grating: ori = 260.0
47.8163 	DATA 	Keypress: down
48.1490 	EXP 	polygon: autoDraw = True
48.1490 	EXP 	polygon_2: autoDraw = True
48.1490 	EXP 	grating: autoDraw = True
48.1490 	EXP 	grating: tex = 'sin'
48.2323 	EXP 	grating: autoDraw = False
49.6167 	EXP 	polygon: autoDraw = False
49.6167 	EXP 	polygon_2: autoDraw = False
49.6167 	EXP 	grating: autoDraw = False
49.6167 	EXP 	grating: ori = 260.0
49.6177 	DATA 	Keypress: up
49.9504 	EXP 	polygon: autoDraw = True
49.9504 	EXP 	polygon_2: autoDraw = True
49.9504 	EXP 	grating: autoDraw = True
49.9504 	EXP 	grating: tex = 'sin'
50.0338 	EXP 	grating: autoDraw = False
50.7678 	EXP 	polygon: autoDraw = False
50.7678 	EXP 	polygon_2: autoDraw = False
50.7678 	EXP 	grating: autoDraw = False
50.7678 	EXP 	grating: ori = 260.0
50.7688 	DATA 	Keypress: down
51.1014 	EXP 	polygon: autoDraw = True
51.1014 	EXP 	polygon_2: autoDraw = True
51.1014 	EXP 	grating: autoDraw = True
51.1014 	EXP 	grating: tex = 'sin'
51.1848 	EXP 	grating: autoDraw = False
51.9854 	EXP 	polygon: autoDraw = False
51.9854 	EXP 	polygon_2: autoDraw = False
51.9854 	EXP 	grating: autoDraw = False
51.9854 	EXP 	grating: ori = 280.0
51.9863 	DATA 	Keypress: down
52.3191 	EXP 	polygon: autoDraw = True
52.3191 	EXP 	polygon_2: autoDraw = True
52.3191 	EXP 	grating: autoDraw = True
52.3191 	EXP 	grating: tex = 'sin'
52.4024 	EXP 	grating: autoDraw = False
52.9878 	DATA 	Keypress: up
53.0030 	EXP 	polygon: autoDraw = False
53.0030 	EXP 	polygon_2: autoDraw = False
53.0030 	EXP 	grating: autoDraw = False
53.0030 	EXP 	grating: ori = 260.0
53.3365 	EXP 	polygon: autoDraw = True
53.3365 	EXP 	polygon_2: autoDraw = True
53.3365 	EXP 	grating: autoDraw = True
53.3365 	EXP 	grating: tex = 'sin'
53.4199 	EXP 	grating: autoDraw = False
54.5722 	DATA 	Keypress: down
54.5875 	EXP 	polygon: autoDraw = False
54.5875 	EXP 	polygon_2: autoDraw = False
54.5875 	EXP 	grating: autoDraw = False
54.5875 	EXP 	grating: ori = 280.0
54.9212 	EXP 	polygon: autoDraw = True
54.9212 	EXP 	polygon_2: autoDraw = True
54.9212 	EXP 	grating: autoDraw = True
54.9212 	EXP 	grating: tex = 'sin'
55.0046 	EXP 	grating: autoDraw = False
55.7564 	DATA 	Keypress: up
55.7719 	EXP 	polygon: autoDraw = False
55.7719 	EXP 	polygon_2: autoDraw = False
55.7719 	EXP 	grating: autoDraw = False
55.7719 	EXP 	grating: ori = 280.0
56.1055 	EXP 	polygon: autoDraw = True
56.1055 	EXP 	polygon_2: autoDraw = True
56.1055 	EXP 	grating: autoDraw = True
56.1055 	EXP 	grating: tex = 'sin'
56.1889 	EXP 	grating: autoDraw = False
56.7227 	EXP 	polygon: autoDraw = False
56.7227 	EXP 	polygon_2: autoDraw = False
56.7227 	EXP 	grating: autoDraw = False
56.7227 	EXP 	grating: ori = 260.0
56.7237 	DATA 	Keypress: up
57.0564 	EXP 	polygon: autoDraw = True
57.0564 	EXP 	polygon_2: autoDraw = True
57.0564 	EXP 	grating: autoDraw = True
57.0564 	EXP 	grating: tex = 'sin'
57.1398 	EXP 	grating: autoDraw = False
57.6901 	EXP 	polygon: autoDraw = False
57.6901 	EXP 	polygon_2: autoDraw = False
57.6901 	EXP 	grating: autoDraw = False
57.6901 	EXP 	grating: ori = 280.0
57.6911 	DATA 	Keypress: down
58.0239 	EXP 	polygon: autoDraw = True
58.0239 	EXP 	polygon_2: autoDraw = True
58.0239 	EXP 	grating: autoDraw = True
58.0239 	EXP 	grating: tex = 'sin'
58.1072 	EXP 	grating: autoDraw = False
59.2414 	EXP 	polygon: autoDraw = False
59.2414 	EXP 	polygon_2: autoDraw = False
59.2414 	EXP 	grating: autoDraw = False
59.2414 	EXP 	grating: ori = 280.0
59.2424 	DATA 	Keypress: up
59.5751 	EXP 	polygon: autoDraw = True
59.5751 	EXP 	polygon_2: autoDraw = True
59.5751 	EXP 	grating: autoDraw = True
59.5751 	EXP 	grating: tex = 'sin'
59.6585 	EXP 	grating: autoDraw = False
60.2093 	EXP 	polygon: autoDraw = False
60.2093 	EXP 	polygon_2: autoDraw = False
60.2093 	EXP 	grating: autoDraw = False
60.2093 	EXP 	grating: ori = 260.0
60.2103 	DATA 	Keypress: up
60.5426 	EXP 	polygon: autoDraw = True
60.5426 	EXP 	polygon_2: autoDraw = True
60.5426 	EXP 	grating: autoDraw = True
60.5426 	EXP 	grating: tex = 'sin'
60.6260 	EXP 	grating: autoDraw = False
61.1598 	EXP 	polygon: autoDraw = False
61.1598 	EXP 	polygon_2: autoDraw = False
61.1598 	EXP 	grating: autoDraw = False
61.1598 	EXP 	grating: ori = 280.0
61.1607 	DATA 	Keypress: down
61.4933 	EXP 	polygon: autoDraw = True
61.4933 	EXP 	polygon_2: autoDraw = True
61.4933 	EXP 	grating: autoDraw = True
61.4933 	EXP 	grating: tex = 'sin'
61.5768 	EXP 	grating: autoDraw = False
62.1272 	EXP 	polygon: autoDraw = False
62.1272 	EXP 	polygon_2: autoDraw = False
62.1272 	EXP 	grating: autoDraw = False
62.1272 	EXP 	grating: ori = 280.0
62.1281 	DATA 	Keypress: down
62.4609 	EXP 	polygon: autoDraw = True
62.4609 	EXP 	polygon_2: autoDraw = True
62.4609 	EXP 	grating: autoDraw = True
62.4609 	EXP 	grating: tex = 'sin'
62.5442 	EXP 	grating: autoDraw = False
63.2114 	EXP 	polygon: autoDraw = False
63.2114 	EXP 	polygon_2: autoDraw = False
63.2114 	EXP 	grating: autoDraw = False
63.2114 	EXP 	grating: ori = 280.0
63.2123 	DATA 	Keypress: up
63.5451 	EXP 	polygon: autoDraw = True
63.5451 	EXP 	polygon_2: autoDraw = True
63.5451 	EXP 	grating: autoDraw = True
63.5451 	EXP 	grating: tex = 'sin'
63.6284 	EXP 	grating: autoDraw = False
64.1622 	EXP 	polygon: autoDraw = False
64.1622 	EXP 	polygon_2: autoDraw = False
64.1622 	EXP 	grating: autoDraw = False
64.1622 	EXP 	grating: ori = 260.0
64.1631 	DATA 	Keypress: up
64.4959 	EXP 	polygon: autoDraw = True
64.4959 	EXP 	polygon_2: autoDraw = True
64.4959 	EXP 	grating: autoDraw = True
64.4959 	EXP 	grating: tex = 'sin'
64.5792 	EXP 	grating: autoDraw = False
65.1464 	EXP 	polygon: autoDraw = False
65.1464 	EXP 	polygon_2: autoDraw = False
65.1464 	EXP 	grating: autoDraw = False
65.1464 	EXP 	grating: ori = 280.0
65.1473 	DATA 	Keypress: down
65.4800 	EXP 	polygon: autoDraw = True
65.4800 	EXP 	polygon_2: autoDraw = True
65.4800 	EXP 	grating: autoDraw = True
65.4800 	EXP 	grating: tex = 'sin'
65.5634 	EXP 	grating: autoDraw = False
66.0638 	EXP 	polygon: autoDraw = False
66.0638 	EXP 	polygon_2: autoDraw = False
66.0638 	EXP 	grating: autoDraw = False
66.0638 	EXP 	grating: ori = 280.0
66.0648 	DATA 	Keypress: up
66.3975 	EXP 	polygon: autoDraw = True
66.3975 	EXP 	polygon_2: autoDraw = True
66.3975 	EXP 	grating: autoDraw = True
66.3975 	EXP 	grating: tex = 'sin'
66.4809 	EXP 	grating: autoDraw = False
67.0313 	EXP 	polygon: autoDraw = False
67.0313 	EXP 	polygon_2: autoDraw = False
67.0313 	EXP 	grating: autoDraw = False
67.0313 	EXP 	grating: ori = 280.0
67.0325 	DATA 	Keypress: down
67.3650 	EXP 	polygon: autoDraw = True
67.3650 	EXP 	polygon_2: autoDraw = True
67.3650 	EXP 	grating: autoDraw = True
67.3650 	EXP 	grating: tex = 'sin'
67.4483 	EXP 	grating: autoDraw = False
67.8320 	EXP 	polygon: autoDraw = False
67.8320 	EXP 	polygon_2: autoDraw = False
67.8320 	EXP 	grating: autoDraw = False
67.8320 	EXP 	grating: ori = 260.0
67.8329 	DATA 	Keypress: up
68.1657 	EXP 	polygon: autoDraw = True
68.1657 	EXP 	polygon_2: autoDraw = True
68.1657 	EXP 	grating: autoDraw = True
68.1657 	EXP 	grating: tex = 'sin'
68.2490 	EXP 	grating: autoDraw = False
68.6673 	DATA 	Keypress: up
68.6826 	EXP 	polygon: autoDraw = False
68.6826 	EXP 	polygon_2: autoDraw = False
68.6826 	EXP 	grating: autoDraw = False
68.6826 	EXP 	grating: ori = 280.0
69.0163 	EXP 	polygon: autoDraw = True
69.0163 	EXP 	polygon_2: autoDraw = True
69.0163 	EXP 	grating: autoDraw = True
69.0163 	EXP 	grating: tex = 'sin'
69.0999 	EXP 	grating: autoDraw = False
69.5334 	EXP 	polygon: autoDraw = False
69.5334 	EXP 	polygon_2: autoDraw = False
69.5334 	EXP 	grating: autoDraw = False
69.5334 	EXP 	grating: ori = 260.0
69.5344 	DATA 	Keypress: down
69.8671 	EXP 	polygon: autoDraw = True
69.8671 	EXP 	polygon_2: autoDraw = True
69.8671 	EXP 	grating: autoDraw = True
69.8671 	EXP 	grating: tex = 'sin'
69.9504 	EXP 	grating: autoDraw = False
70.7678 	EXP 	polygon: autoDraw = False
70.7678 	EXP 	polygon_2: autoDraw = False
70.7678 	EXP 	grating: autoDraw = False
